,ep,explo,year,biomass_g,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2
260,SEG11,SCH,2018,668.9,305.0,627.0,358.0,4720.5,4671.5,1027.0,3422.5,4334.5,1798.5,823.5
261,SEG12,SCH,2018,410.65,387.0,730.0,514.0,4041.0,3883.0,1161.0,2981.0,3623.0,2086.0,1035.0
262,SEG13,SCH,2018,420.75,367.0,708.0,458.0,4844.0,4710.0,1188.0,3590.0,4437.0,1787.0,854.0
263,SEG14,SCH,2018,179.4,351.5,756.5,459.5,4366.5,4204.5,1225.0,3308.5,3951.0,2192.0,1046.5
264,SEG15,SCH,2018,483.75,299.0,652.0,396.0,4562.0,4420.0,1104.5,3318.0,4104.0,1828.5,828.5
265,SEG16,SCH,2018,492.55,366.0,674.0,443.0,4776.0,4615.0,1026.0,3498.0,4418.0,2035.0,961.0
266,SEG17,SCH,2018,485.55,378.0,732.0,502.0,4145.0,3998.0,1187.0,3088.0,3666.0,2431.0,1222.0
267,SEG18,SCH,2018,327.75,334.5,669.5,470.5,3944.5,3716.5,1143.0,2921.0,3505.0,1895.5,904.0
268,SEG19,SCH,2018,438.45,268.0,589.0,329.0,4339.0,4064.0,994.0,3166.0,3942.0,1619.0,737.0
269,SEG20,SCH,2018,325.2,298.5,647.0,365.5,4647.5,4477.0,1043.5,3416.5,4216.5,2094.5,947.5
270,SEG21,SCH,2018,598.3,376.0,701.0,528.0,3887.0,3724.0,1112.0,2850.0,3424.0,2440.0,1218.0
271,SEG22,SCH,2018,367.6,271.0,644.0,313.5,4396.5,4252.0,1043.5,3323.5,4054.0,1746.5,794.0
272,SEG23,SCH,2018,177.75,471.0,789.0,698.0,3763.0,3523.0,1306.0,2693.0,3240.0,2694.0,1444.0
273,SEG24,SCH,2018,157.25,365.5,685.5,615.5,3767.0,3520.5,1152.0,2710.0,3264.5,2285.5,1112.5
274,SEG25,SCH,2018,178.6,359.0,720.0,500.5,3911.5,3841.0,1190.0,2956.5,3455.5,2122.5,1026.0
275,SEG26,SCH,2018,80.85,485.5,889.5,724.5,4118.0,3938.5,1478.0,3083.5,3601.5,2704.5,1352.0
276,SEG27,SCH,2018,186.25,351.5,643.5,531.5,3836.0,3633.0,1144.5,2741.5,3318.5,2377.5,1214.0
277,SEG28,SCH,2018,180.1,464.0,855.0,653.0,3915.0,3751.0,1393.0,3007.0,3491.0,2512.0,1288.0
278,SEG29,SCH,2018,169.95,488.5,843.0,714.0,3813.5,3605.0,1291.5,2904.5,3436.0,2420.5,1237.0
279,SEG30,SCH,2018,402.5,404.5,758.0,637.5,3568.0,3366.0,1291.0,2748.0,3183.0,2267.0,1191.5
280,SEG31,SCH,2018,351.15,333.0,668.0,424.0,4118.0,3947.0,1098.0,3115.0,3770.0,1990.0,944.0
281,SEG32,SCH,2018,296.5,366.0,729.5,530.5,3797.5,3683.0,1226.0,2921.0,3431.0,2126.0,1070.5
282,SEG33,SCH,2018,431.3,373.0,718.0,456.0,4232.0,3942.0,1157.0,3256.0,3853.0,2215.0,1094.0
283,SEG34,SCH,2018,529.1,424.0,816.0,562.0,4265.0,4206.0,1341.0,3255.0,3847.0,2334.0,1198.0
284,SEG35,SCH,2018,355.95,433.0,785.0,616.0,4100.0,3880.0,1296.0,3104.0,3674.0,2435.0,1277.0
285,SEG36,SCH,2018,362.15,327.0,680.0,380.5,4450.5,4305.0,1101.0,3346.5,4034.0,2135.5,988.0
286,SEG37,SCH,2018,206.3,383.0,698.0,603.0,3605.0,3387.0,1163.0,2674.0,3165.0,2245.0,1136.0
287,SEG38,SCH,2018,240.55,593.0,874.0,972.0,3039.0,2842.0,1380.0,2327.0,2672.0,2900.0,1956.0
288,SEG39,SCH,2018,197.4,380.0,734.0,573.0,3716.0,3549.0,1222.0,2879.0,3364.0,2189.0,1153.0
289,SEG40,SCH,2018,488.65,314.0,594.0,383.0,4535.0,4345.0,970.0,3155.0,4103.0,2231.0,1109.0
290,SEG41,SCH,2018,430.5,285.0,604.0,313.0,5080.0,4844.0,961.0,3643.0,4704.0,1800.0,815.0
291,SEG42,SCH,2018,769.35,436.0,708.0,621.0,3273.0,3166.0,1124.0,2484.0,2948.0,2475.0,1444.0
292,SEG43,SCH,2018,502.7,438.5,778.0,639.0,3864.0,3683.0,1285.0,2867.5,3444.0,2496.0,1334.5
293,SEG44,SCH,2018,345.4,391.0,772.5,488.0,5143.0,4982.0,1236.0,3772.5,4764.0,2032.0,979.5
294,SEG45,SCH,2018,297.35,315.0,641.0,336.5,4803.5,4784.0,1016.0,3556.5,4473.0,1720.5,765.5
295,SEG46,SCH,2018,429.25,420.5,741.5,607.0,3722.0,3492.0,1187.5,2877.5,3360.5,2345.0,1281.0
296,SEG47,SCH,2018,825.3,397.0,784.5,528.0,4653.5,4498.5,1282.0,3449.0,4169.0,2257.0,1124.0
297,SEG48,SCH,2018,182.95,403.0,740.5,625.0,3421.5,3268.5,1243.0,2627.0,3026.5,2533.5,1401.5
298,SEG49,SCH,2018,344.95,337.0,702.0,402.0,4790.5,4625.5,1098.0,3514.0,4387.5,1842.0,868.0
299,SEG50,SCH,2018,373.05,315.0,639.5,375.5,4553.0,4389.5,1016.5,3286.0,4122.0,1906.5,865.0
300,AEG01,ALB,2019,151.5,357.0,709.0,475.0,4170.0,3980.0,1174.0,3216.0,3801.0,2134.0,1036.0
301,AEG02,ALB,2019,257.5,359.0,664.0,412.5,4643.5,4502.5,1058.5,3352.0,4263.0,2023.0,962.0
302,AEG03,ALB,2019,83.5,406.0,757.5,557.0,3840.5,3741.5,1262.0,3035.5,3510.5,2110.0,1068.5
303,AEG04,ALB,2019,210.5,354.5,721.0,416.5,5377.0,5185.5,1175.5,3935.0,4937.0,2073.0,932.5
304,AEG05,ALB,2019,134.5,325.0,649.0,370.0,4867.0,4657.0,1074.0,3612.0,4487.0,1992.0,893.0
305,AEG06,ALB,2019,217.5,303.0,567.0,332.0,4097.0,3947.0,893.0,2997.0,3775.0,1659.0,749.0
306,AEG07,ALB,2019,5.0,514.5,810.5,772.5,3272.5,3084.0,1399.5,2571.5,2908.0,2832.5,1619.5
307,AEG08,ALB,2019,60.5,483.5,809.5,683.5,3856.5,3662.0,1391.0,3027.5,3494.0,2491.5,1255.5
308,AEG09,ALB,2019,76.0,541.0,846.0,791.0,3483.0,3287.0,1387.0,2753.0,3137.0,2633.0,1407.0
309,AEG10,ALB,2019,62.0,465.5,796.0,681.5,3881.0,3685.5,1289.0,2951.0,3434.0,2551.5,1325.5
310,AEG11,ALB,2019,14.5,310.0,657.0,357.0,4461.0,4350.0,1065.0,3326.0,4066.0,1957.0,897.0
311,AEG12,ALB,2019,116.5,385.0,726.0,489.0,4100.0,3898.0,1146.0,3158.0,3714.0,2177.0,1054.0
312,AEG13,ALB,2019,234.0,324.0,641.0,389.0,4981.0,4858.0,1050.0,3597.0,4576.0,1988.0,913.0
313,AEG14,ALB,2019,209.5,354.0,709.0,451.5,4549.5,4339.5,1136.5,3449.0,4192.0,1940.0,915.5
314,AEG15,ALB,2019,191.5,333.0,666.5,399.5,4377.0,4176.0,1105.0,3357.0,4028.5,1935.5,925.0
315,AEG16,ALB,2019,161.0,374.5,757.5,471.5,4251.5,4017.5,1249.5,3309.5,3854.0,2038.5,955.5
316,AEG17,ALB,2019,51.0,453.0,838.0,615.0,4115.0,3903.0,1394.0,3275.0,3754.0,2325.0,1160.0
317,AEG18,ALB,2019,176.5,337.0,679.0,390.0,4964.5,4777.5,1101.0,3719.0,4591.5,1854.0,850.5
318,AEG19,ALB,2019,259.5,408.0,765.0,472.0,4571.0,4399.0,1235.0,3390.0,4141.0,2329.0,1099.0
319,AEG20,ALB,2019,181.0,336.0,814.0,441.0,4972.0,4790.0,1382.0,3884.0,4574.0,2235.0,1032.0
320,AEG21,ALB,2019,143.0,282.5,655.5,323.5,4930.0,4783.0,1077.0,3788.0,4594.0,1830.0,788.5
321,AEG22,ALB,2019,70.5,519.0,872.0,692.0,4158.0,3865.0,1470.0,3324.0,3817.0,2592.0,1308.0
322,AEG23,ALB,2019,145.5,309.0,678.0,393.5,4340.0,4226.0,1158.0,3357.5,3988.5,1962.0,915.0
323,AEG24,ALB,2019,215.5,354.0,743.5,431.0,4648.5,4554.5,1213.0,3595.0,4309.0,2008.0,932.5
324,AEG25,ALB,2019,4.5,520.5,802.5,747.0,3405.5,3163.0,1357.0,2641.0,3030.0,2632.0,1449.0
325,AEG26,ALB,2019,53.0,465.0,746.0,693.0,3202.0,2992.0,1288.0,2486.0,2851.0,2540.0,1363.0
326,AEG27,ALB,2019,37.5,508.0,804.5,711.0,3507.5,3355.5,1363.0,2805.0,3203.0,2493.0,1322.5
327,AEG28,ALB,2019,33.5,587.0,926.5,888.0,3492.5,3345.5,1528.5,2792.5,3140.0,2838.5,1552.0
328,AEG29,ALB,2019,34.0,382.0,744.0,548.0,3883.0,3710.0,1291.0,3065.0,3517.0,2356.0,1176.0
329,AEG30,ALB,2019,128.0,363.0,726.0,457.0,4118.0,3975.0,1216.0,3261.0,3787.0,1905.0,897.0
330,AEG31,ALB,2019,154.0,370.0,701.0,485.0,3972.5,3835.5,1204.0,3083.5,3638.0,2134.0,1042.5
