biomass_gm2,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2
246.05,336.0,670.0,395.0,4281.5,4090.5,1046.5,3136.0,3873.0,1793.5,796.0
237.85,629.0,978.0,833.0,3792.0,3594.0,1490.0,2926.0,3405.0,2414.0,1316.0
219.65,387.0,712.0,500.0,3724.0,3584.0,1133.0,2869.0,3397.0,2000.0,965.0
301.85,392.0,672.0,458.0,3225.0,3109.0,1010.0,2536.0,3002.0,1428.0,698.0
476.3,389.5,757.0,484.0,4199.0,4092.0,1206.5,3202.5,3791.5,1990.0,960.5
152.4,449.0,813.0,594.0,3935.0,3773.0,1332.0,3049.0,3548.0,2229.0,1106.0
303.75,401.0,760.0,524.0,4017.0,3838.0,1238.0,3068.0,3628.0,2027.0,980.0
298.55,439.0,834.0,594.0,3943.5,3683.0,1330.0,3035.0,3516.5,2272.0,1161.5
88.3,461.0,779.0,690.0,3293.0,3037.0,1283.0,2495.0,2901.0,2347.0,1292.0
139.25,366.0,713.0,467.0,3920.0,3748.0,1162.0,3079.0,3592.0,1793.0,857.0
174.6,355.5,630.5,489.0,3652.5,3440.0,1008.0,2661.0,3235.5,1970.0,963.5
602.2,375.0,675.0,410.0,4745.0,4595.0,1015.0,3440.0,4394.0,1762.0,811.0
231.15,439.0,770.0,547.0,3910.0,3752.0,1226.0,3045.0,3557.0,2207.0,1157.0
430.05,365.0,663.0,446.0,3827.0,3633.0,1072.0,2871.0,3470.0,2028.0,1013.0
274.75,395.0,738.0,500.0,3770.0,3615.0,1179.0,2880.0,3407.0,2292.0,1122.0
141.9,449.5,791.5,614.5,3754.5,3579.5,1285.0,2930.5,3399.0,2264.0,1175.5
228.9,395.0,753.0,496.0,4266.0,4116.0,1205.0,3259.0,3903.0,2027.0,989.0
287.25,395.0,754.0,481.0,4599.0,4354.0,1190.0,3492.0,4223.0,1798.0,844.0
78.05,488.0,854.0,654.0,3900.0,3681.0,1385.0,3050.0,3477.0,2568.0,1364.0
190.9,430.5,734.5,562.5,3640.0,3459.0,1154.5,2753.5,3268.0,2187.5,1089.5
44.5,583.0,912.0,951.0,3656.0,3434.0,1497.0,2798.0,3196.0,2774.0,1494.0
165.0,302.0,606.0,352.0,4279.0,4095.0,965.0,3129.0,3846.0,1909.0,852.0
101.5,389.0,677.0,525.0,3560.0,3422.0,1051.0,2710.0,3198.0,2061.0,1071.0
257.5,385.0,674.0,510.0,3903.0,3770.0,1092.0,2896.0,3514.0,2143.0,1078.0
128.0,389.0,730.0,509.0,4478.0,4298.0,1173.0,3390.0,4086.0,2008.0,950.0
234.0,276.0,580.0,310.0,4627.0,4479.0,936.0,3368.0,4227.0,1601.0,706.0
159.5,334.0,653.0,403.0,4486.0,4330.0,1025.0,3339.0,4110.0,1804.0,825.0
65.0,298.0,755.0,398.0,5207.0,4933.0,1234.0,3944.0,4727.0,1994.0,871.0
97.0,330.0,640.0,437.0,3938.0,3742.0,1008.0,2990.0,3597.0,1884.0,895.0
56.0,516.0,864.0,701.0,4138.0,3924.0,1418.0,3243.0,3730.0,2558.0,1279.0
22.5,643.0,991.0,1027.0,3669.0,3492.0,1639.0,2887.0,3244.0,3057.0,1699.0
14.5,484.0,850.0,732.0,3941.0,3735.0,1400.0,3046.0,3493.0,2553.0,1290.0
133.5,318.0,655.0,397.0,4515.0,4389.0,1104.0,3476.0,4102.0,1876.0,843.0
58.0,453.0,764.0,651.0,3632.0,3491.0,1263.0,2816.0,3261.0,2339.0,1253.0
66.5,629.0,983.0,1012.0,3702.0,3515.0,1601.0,2861.0,3263.0,2833.0,1572.0
33.5,523.0,849.0,805.0,3596.0,3381.0,1416.0,2730.0,3149.0,2787.0,1451.0
27.5,480.0,853.0,666.0,4122.0,3942.0,1416.0,3248.0,3711.0,2561.0,1281.0
213.0,290.0,548.0,327.0,4035.0,3889.0,897.0,2921.0,3648.0,1744.0,792.0
280.5,299.0,593.0,342.0,4446.0,4270.0,925.0,3255.0,4072.0,1660.0,717.0
191.5,361.0,641.0,402.0,4428.0,4285.0,994.0,3235.0,4034.0,1949.0,868.0
62.0,350.0,624.0,502.0,3264.0,3114.0,1025.0,2493.0,2939.0,1959.0,1064.0
275.0,326.0,616.0,345.0,4872.0,4736.0,975.0,3528.0,4435.0,1754.0,750.0
105.5,407.0,746.0,545.0,3878.0,3748.0,1202.0,3069.0,3556.0,1985.0,992.0
189.5,340.0,642.0,412.0,4231.0,4117.0,994.0,3201.0,3908.0,1841.0,869.0
116.5,391.0,725.0,504.0,4190.0,3981.0,1194.0,3184.0,3792.0,2005.0,1002.0
38.5,351.0,671.0,462.0,3838.0,3778.0,1080.0,2913.0,3475.0,1798.0,854.0
77.0,313.0,609.0,351.0,4742.0,4610.0,947.0,3367.0,4330.0,1750.0,778.0
37.5,568.0,929.0,892.0,4036.0,3820.0,1593.0,3079.0,3536.0,2937.0,1521.0
71.475,382.0,678.0,514.0,3283.0,3125.0,1092.0,2491.0,2903.0,2076.0,1078.0
71.675,508.0,828.0,764.0,3385.0,3218.0,1358.0,2637.0,3013.0,2280.0,1270.0
51.125,346.0,646.0,444.0,4084.0,3934.0,1057.0,3031.0,3732.0,2137.0,1074.0
171.0,351.0,685.0,477.0,3918.0,3757.0,1129.0,2972.0,3526.0,1903.0,920.0
37.475,390.0,685.5,514.5,4015.0,3865.5,1110.5,3053.5,3643.5,2109.0,1015.5
16.425,481.0,794.0,685.0,3249.0,3060.0,1308.0,2611.0,2933.0,2302.0,1270.0
34.575,504.0,817.0,744.0,3358.0,3201.0,1341.0,2630.0,2995.0,2389.0,1281.0
149.05,359.0,703.0,486.0,4083.0,3867.0,1155.0,3035.0,3682.0,2082.0,1015.0
50.775,509.0,793.0,708.0,3512.0,3312.0,1306.5,2667.5,3105.5,2243.5,1170.5
28.875,544.0,850.5,883.0,3156.0,2981.5,1377.0,2438.0,2799.5,2607.5,1472.5
205.7,320.5,613.0,418.0,3764.0,3562.5,1028.0,2840.0,3414.0,1967.5,957.0
31.425,506.0,791.0,745.0,3576.0,3379.0,1284.0,2697.0,3172.0,2461.0,1293.0
96.125,443.0,699.0,676.0,3448.0,3229.0,1145.0,2562.0,3046.0,2329.0,1200.0
15.725,563.0,891.0,925.0,3326.0,3118.5,1485.5,2564.0,2918.0,2775.5,1535.5
322.875,304.0,607.0,336.0,4454.0,4313.0,978.0,3247.0,4054.0,1665.0,738.0
166.45,295.0,564.0,348.0,3976.0,3820.0,935.0,2885.0,3570.0,1705.0,766.0
86.5,364.0,678.0,475.0,3733.0,3549.0,1091.0,2873.0,3385.0,2041.0,1013.0
233.275,284.0,629.0,357.0,4807.0,4625.0,981.0,3496.0,4477.0,1631.0,729.0
126.05,569.0,910.0,887.0,3380.0,3214.0,1489.0,2642.0,3003.0,2751.0,1563.0
69.425,342.0,633.0,444.0,4053.0,3895.0,1045.0,2987.0,3655.0,2014.0,931.0
93.625,428.0,745.0,544.0,3418.0,3277.0,1128.0,2651.0,3084.0,2095.0,1090.0
46.075,456.0,789.0,661.0,3573.0,3444.0,1293.0,2789.0,3193.0,2439.0,1236.0
22.525,532.0,821.0,858.0,2903.0,2756.0,1341.0,2259.0,2555.0,2756.0,1541.0
88.3125,508.0,858.0,729.0,3798.0,3591.0,1401.0,2954.0,3397.0,2422.0,1246.0
