"","explrtr","year","Qnum2","type","blue","green","red","nir","nirb","re1","re2","re3","swir1","swir2","month"
"270","HAI","2021","HEG47_01","grassland",279,661,361,3992,3822,1116,2998,3576,2002,903,"09"
"271","HAI","2021","HEG47_04","grassland",293,652,354,3951,3790,1118,2982,3545,1997,902,"09"
"272","HAI","2021","HEG47_05","grassland",292.5,656.5,352.5,3920,3706,1118,2969.5,3518.5,1993.5,903,"09"
"273","HAI","2021","HEG47_08","grassland",297,690,383,3930,3675,1155,2987,3503,2004,904,"09"
"274","HAI","2021","HEG47_09","grassland",297,690,383,3930,3675,1155,2987,3503,2004,904,"09"
"275","HAI","2021","HEG47_10","grassland",297,690,383,3930,3675,1155,2987,3503,2004,904,"09"
"276","HAI","2021","HEG06_03","grassland",279,679,305,4357,4233,1124,3432,4025,1853,809,"09"
"277","HAI","2021","HEG06_05","grassland",300,701,346,4313,4120,1156,3399,3961,1893,827,"09"
"278","HAI","2021","HEG06_06","grassland",300,701,346,4313,4120,1156,3399,3961,1893,827,"09"
"279","HAI","2021","HEG06_07","grassland",309,704,362.5,4232,4031.5,1166.5,3348.5,3892,1922.5,844,"09"
"280","HAI","2021","HEG06_08","grassland",318,707,379,4151,3943,1177,3298,3823,1952,861,"09"
"281","HAI","2021","HEG06_09","grassland",318,707,379,4151,3943,1177,3298,3823,1952,861,"09"
"282","HAI","2021","HEG08_02","grassland",432,705,678,2738,2566,1191,2121,2411,2457,1399,"09"
"283","HAI","2021","HEG08_05","grassland",442,720,656,2723,2579,1189,2122,2401,2469,1409,"09"
"284","HAI","2021","HEG08_06","grassland",442,720,656,2723,2579,1189,2122,2401,2469,1409,"09"
"285","HAI","2021","HEG12_01","grassland",340,686,407,4029,3883,1099,3100,3710,2221,1008,"09"
"286","HAI","2021","HEG15_03","grassland",273,678,345,3906,3718,1088,3027,3515,1983,877,"09"
"287","HAI","2021","HEG17_04","grassland",444,806,664,3403,3269,1341,2674,3041,2396,1251,"09"
"288","HAI","2021","HEG04_01","grassland",307,648,393,3656,3467,1020,2793,3314,1890,867,"09"
"289","HAI","2021","HEG29_02","grassland",317,686.5,401.5,3650,3515,1106,2872,3324,2178.5,995,"09"
"290","HAI","2021","HEG29_03","grassland",321,667,413,3527,3338.5,1090.5,2761.5,3197.5,2186.5,1004,"09"
"291","HAI","2021","HEG29_04","grassland",321,667,413,3527,3338.5,1090.5,2761.5,3197.5,2186.5,1004,"09"
"292","HAI","2021","HEG29_05","grassland",328.5,660.5,433.5,3430.5,3239,1080,2690,3105,2175,1004,"09"
"293","HAI","2021","HEG29_06","grassland",328.5,660.5,433.5,3430.5,3239,1080,2690,3105,2175,1004,"09"
"294","HAI","2021","HEG29_07","grassland",328.5,657.5,433.5,3408,3233.5,1079,2673,3084.5,2172.5,1003,"09"
"295","HAI","2021","HEG29_08","grassland",327.5,656,430.5,3395,3195,1077,2661,3071.5,2169,1002,"09"
"296","HAI","2021","HEG29_10","grassland",330,677.5,452,3377,3165.5,1093,2652,3055,2184.5,1017,"09"
"297","HAI","2021","HEG44_07","grassland",391,733,572,3653,3484,1153,2869,3323,2492,1186,"09"
"298","HAI","2021","HEG48_01","grassland",292,692,377,4115,3945,1185,3155,3685,1937,847,"09"
"299","HAI","2021","HEG50_01","grassland",322,643,476,3271,3045,1115,2465,2878,1978,938,"09"
"300","HAI","2021","HEG50_03","grassland",310,643,448,3301,3066,1101,2478,2894,1962,924,"09"
